run_id,profile_id,family,subtype,currency,currency_pair,timing_cv_scenario,timing_CV,tenor_months,h_R_k,h_C_k,alpha_R_k,alpha_C_k,alpha_D_k,fx_debt_service_share_k,delta_CF_k,delta_op_eff_k,delta_net_k,omega_t,E_t,Q_plus,Q_minus,lambda,H_t,direction,sigma_Q,rho,c,g_NR,g_PAE,g_TE,g_AEO,g_ACC,g_EXT,g_CIRC
20260510_232418,2919,processor,0000101,EUR,EUR_TND,baseline,0.4,3,0.3690668271838647,0.3835411240617144,0.8411414070986212,0.5451956602744759,0.4860180119983852,0.0,0.04869088876320227,0.029051254164900505,0.029051254164900505,0.1496901229515268,0.004348685807840012,0.004348685807840012,0.0,0.7638328372426331,0.003321669018879208,inflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
20260510_232418,2919,processor,0000101,EUR,EUR_TND,baseline,0.4,6,0.3690668271838647,0.3835411240617144,0.8411414070986212,0.5451956602744759,0.4860180119983852,0.0,0.04869088876320227,0.029051254164900505,0.029051254164900505,0.4332909481665803,0.012587645462538054,0.012587645462538054,0.0,0.7638328372426331,0.009614856947854798,inflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
20260510_232418,2919,processor,0000101,EUR,EUR_TND,baseline,0.4,9,0.3690668271838647,0.3835411240617144,0.8411414070986212,0.5451956602744759,0.4860180119983852,0.0,0.04869088876320227,0.029051254164900505,0.029051254164900505,0.27697318196116283,0.008046418306014977,0.008046418306014977,0.0,0.7638328372426331,0.006146118524324481,inflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
20260510_232418,2919,processor,0000101,EUR,EUR_TND,baseline,0.4,12,0.3690668271838647,0.3835411240617144,0.8411414070986212,0.5451956602744759,0.4860180119983852,0.0,0.04869088876320227,0.029051254164900505,0.029051254164900505,0.09539927660617581,0.0027714686318336605,0.0027714686318336605,0.0,0.7638328372426331,0.0021169387483824633,inflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
20260510_232418,2919,processor,0000101,EUR,EUR_TND,high,0.6,1,0.3690668271838647,0.3835411240617144,0.8411414070986212,0.5451956602744759,0.4860180119983852,0.0,0.04869088876320227,0.029051254164900505,0.029051254164900505,0.07243573931894744,0.002104349073577219,0.002104349073577219,0.0,0.7638328372426331,0.0016073709234193938,inflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
20260510_232418,2919,processor,0000101,EUR,EUR_TND,high,0.6,2,0.3690668271838647,0.3835411240617144,0.8411414070986212,0.5451956602744759,0.4860180119983852,0.0,0.04869088876320227,0.029051254164900505,0.029051254164900505,0.16957665867651597,0.004926414611646046,0.004926414611646046,0.0,0.7638328372426331,0.0037629572502471636,inflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
20260510_232418,2919,processor,0000101,EUR,EUR_TND,high,0.6,3,0.3690668271838647,0.3835411240617144,0.8411414070986212,0.5451956602744759,0.4860180119983852,0.0,0.04869088876320227,0.029051254164900505,0.029051254164900505,0.23804876943023467,0.006915615304359545,0.006915615304359545,0.0,0.7638328372426331,0.005282374059207527,inflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
20260510_232418,2919,processor,0000101,EUR,EUR_TND,high,0.6,6,0.3690668271838647,0.3835411240617144,0.8411414070986212,0.5451956602744759,0.4860180119983852,0.0,0.04869088876320227,0.029051254164900505,0.029051254164900505,0.25976258475212594,0.007546428872165519,0.007546428872165519,0.0,0.7638328372426331,0.005764210176475912,inflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
20260510_232418,2919,processor,0000101,EUR,EUR_TND,high,0.6,9,0.3690668271838647,0.3835411240617144,0.8411414070986212,0.5451956602744759,0.4860180119983852,0.0,0.04869088876320227,0.029051254164900505,0.029051254164900505,0.16997065335879577,0.004937860651300576,0.004937860651300576,0.0,0.7638328372426331,0.0037717001111916746,inflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
20260510_232418,2919,processor,0000101,EUR,EUR_TND,high,0.6,12,0.3690668271838647,0.3835411240617144,0.8411414070986212,0.5451956602744759,0.4860180119983852,0.0,0.04869088876320227,0.029051254164900505,0.029051254164900505,0.09020559446338021,0.0026205856518516004,0.0026205856518516004,0.0,0.7638328372426331,0.0020016893736911428,inflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
20260510_232418,2919,processor,0000101,USD,USD_TND,low,0.25,1,0.06970223598340936,0.3199514970435649,0.15885859290137883,0.45480433972552414,0.5139819880016148,0.0,-0.197556617588533,-0.1178714879786694,-0.1178714879786694,7.505184044623374e-08,-8.846472108935255e-09,0.0,8.846472108935255e-09,0.7638328372426331,6.7572258905558355e-09,outflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
20260510_232418,2919,processor,0000101,USD,USD_TND,low,0.25,2,0.06970223598340936,0.3199514970435649,0.15885859290137883,0.45480433972552414,0.5139819880016148,0.0,-0.197556617588533,-0.1178714879786694,-0.1178714879786694,0.0002729505810275883,-3.2173091130364206e-05,0.0,3.2173091130364206e-05,0.7638328372426331,2.4574863480971884e-05,outflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
20260510_232418,2919,processor,0000101,USD,USD_TND,low,0.25,3,0.06970223598340936,0.3199514970435649,0.15885859290137883,0.45480433972552414,0.5139819880016148,0.0,-0.197556617588533,-0.1178714879786694,-0.1178714879786694,0.01326556190089737,-0.001563631520131919,0.0,0.001563631520131919,0.7638328372426331,0.0011943531004243752,outflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
20260510_232418,2919,processor,0000101,USD,USD_TND,low,0.25,6,0.06970223598340936,0.3199514970435649,0.15885859290137883,0.45480433972552414,0.5139819880016148,0.0,-0.197556617588533,-0.1178714879786694,-0.1178714879786694,0.5942836883251883,-0.07004910262434175,0.0,0.07004910262434175,0.7638328372426331,0.05350580480385133,outflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
20260510_232418,2919,processor,0000101,USD,USD_TND,low,0.25,9,0.06970223598340936,0.3199514970435649,0.15885859290137883,0.45480433972552414,0.5139819880016148,0.0,-0.197556617588533,-0.1178714879786694,-0.1178714879786694,0.35577950006719533,-0.041936259065227424,0.0,0.041936259065227424,0.7638328372426331,0.03203229174513476,outflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
20260510_232418,2919,processor,0000101,USD,USD_TND,low,0.25,12,0.06970223598340936,0.3199514970435649,0.15885859290137883,0.45480433972552414,0.5139819880016148,0.0,-0.197556617588533,-0.1178714879786694,-0.1178714879786694,0.03639822407385091,-0.004290312831365833,0.0,0.004290312831365833,0.7638328372426331,0.0032770818226406386,outflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
20260510_232418,2919,processor,0000101,USD,USD_TND,baseline,0.4,1,0.06970223598340936,0.3199514970435649,0.15885859290137883,0.45480433972552414,0.5139819880016148,0.0,-0.197556617588533,-0.1178714879786694,-0.1178714879786694,0.002607277329908076,-0.00030732365844931707,0.0,0.00030732365844931707,0.7638328372426331,0.00023474390198512777,outflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
20260510_232418,2919,processor,0000101,USD,USD_TND,baseline,0.4,2,0.06970223598340936,0.3199514970435649,0.15885859290137883,0.45480433972552414,0.5139819880016148,0.0,-0.197556617588533,-0.1178714879786694,-0.1178714879786694,0.042039192984646166,-0.004955222230522684,0.0,0.004955222230522684,0.7638328372426331,0.0037849614555079104,outflow,0.10147953245788813,-0.06729380078613756,7.278216526098549,0,0,0,0,1,0,1
